Aburria_aburri	MW574349.1
Acanthis_flammea	KR422696.1
Acanthis_flammea	NC_027285.1
Acanthisitta_chloris	AY325307.1
Acanthisitta_chloris	CM029221.1
Acanthisitta_chloris	MN356114.1
Acanthisitta_chloris	NC_051004.1
Acanthisitta_chloris	NW_008667957.1
Acanthiza_nana	KY994589.1
Acanthiza_nana	KY994614.1
Acanthorhynchus_tenuirostris	MT457824.1
Acanthorhynchus_tenuirostris	NC_051552.1
Accipiter_gentilis	MN122867.1
Accipiter_gentilis	NC_011818.1
Accipiter_gentilis_fujiyamae	AB219551.1
Accipiter_gentilis_fujiyamae	AB233991.1
Accipiter_gentilis_gentilis	MK433006.1
Accipiter_gentilis_gentilis	MK433007.1
Accipiter_gularis	KX585864.1
Accipiter_nisus	KJ680300.1
Accipiter_nisus	KM360148.1
Accipiter_nisus	MN122826.1
Accipiter_nisus	MN929010.1
Accipiter_nisus	NC_025580.1
Accipiter_nisus_nisosimilis	AB233992.1
Accipiter_nisus_nisosimilis	AB246663.1
Accipiter_soloensis	KJ680303.1
Accipiter_trivirgatus	MK953813.1
Accipiter_trivirgatus	NC_045364.1
Accipiter_virgatus	KJ699124.1
Accipiter_virgatus	KP336714.1
Accipiter_virgatus	NC_026082.1
Aceros_corrugatus	HM755883.1
Aceros_waldeni	HQ834450.1
Aceros_waldeni	NC_015085.1
Acridotheres_cristatellus	JF810423.1
Acridotheres_cristatellus	NC_015613.1
Acridotheres_tristis	HQ915864.1
Acridotheres_tristis	NC_015195.1
Acrocephalus_arundinaceus	AB492869.1
Acrocephalus_arundinaceus	AB492870.1
Acrocephalus_arundinaceus	AB492871.1
Acrocephalus_arundinaceus	AB621334.1
Acrocephalus_arundinaceus	MN356442.1
Acrocephalus_orientalis	AB159180.1
Acrocephalus_orientalis	AB159181.1
Acrocephalus_orientalis	AB159182.1
Acrocephalus_orientalis	AB159183.1
Acrocephalus_orientalis	AB159184.1
Acrocephalus_orientalis	AB159185.1
Acrocephalus_orientalis	AB159186.1
Acrocephalus_orientalis	AB159187.1
Acrocephalus_orientalis	MG681103.1
Acrocephalus_orientalis	NC_046418.1
Acrocephalus_scirpaceus	LR878456.1
Acrocephalus_scirpaceus	LR878457.1
Acrocephalus_scirpaceus	LR878458.1
Acrocephalus_scirpaceus	LR878459.1
Acrocephalus_scirpaceus	LR878460.1
Acrocephalus_scirpaceus	LR878461.1
Acrocephalus_scirpaceus	LR878462.1
Acrocephalus_scirpaceus	LR878463.1
Acrocephalus_scirpaceus	LR878464.1
Acrocephalus_scirpaceus	LR878465.1
Acrocephalus_scirpaceus	LR878466.1
Acrocephalus_scirpaceus	LR878467.1
Acrocephalus_scirpaceus	LR878468.1
Acrocephalus_scirpaceus	LR878469.1
Acrocephalus_scirpaceus	LR878470.1
Acrocephalus_scirpaceus	LR878471.1
Acrocephalus_scirpaceus	LR878472.1
Acrocephalus_scirpaceus	NC_010227.1
Acryllium_vulturinum	FJ752436.1
Acryllium_vulturinum	MW574350.1
Acryllium_vulturinum	NC_014180.1
Actinodura_cyanouroptera	MK386571.1
Actinodura_cyanouroptera	MK779708.1
Actinodura_cyanouroptera	MK940810.1
Actinodura_cyanouroptera	NC_045387.1
Aegithalos_bonvaloti	KF951087.1
Aegithalos_bonvaloti	NC_024267.1
Aegithalos_caudatus	AJ224486.1
Aegithalos_caudatus	MN356243.1
Aegithalos_caudatus_caudatus	KF951088.1
Aegithalos_caudatus_magnus	AB159171.1
Aegithalos_caudatus_magnus	AB159172.1
Aegithalos_caudatus_trivirgatus	AB159169.1
Aegithalos_caudatus_trivirgatus	AB159170.1
Aegithalos_concinnus_concinnus	KF951091.1
Aegithalos_concinnus_talifuensis	KF951092.1
Aegithalos_fuliginosus	KF951086.1
Aegithalos_fuliginosus	NC_024266.1
Aegithalos_glaucogularis	KF951089.1
Aegithalos_glaucogularis	NC_024268.1
Aegithalos_glaucogularis_vinaceus	KF951090.1
Aegolius_funereus	MN122880.1
Aegotheles_bennettii	MN356366.1
Aegotheles_bennettii	NC_052816.1
Aegotheles_cristatus	EU344979.2
Aegotheles_cristatus	NC_011718.2
Aegypius_monachus	KF682364.1
Aepyornis_hildebrandti	KJ749824.1
Aepyornis_sp.	KY412176.1
Aepypodius_arfakianus	MW574351.1
Aerodramus_fuciphagus	MW074961.1
Aerodramus_fuciphagus	NC_054244.1
Aerodramus_maximus	MT921258.1
Aethia_cristatella	MN337912.1
Aethia_cristatella	NC_045517.1
Aethopyga_gouldiae	KP772257.1
Aethopyga_gouldiae	NC_027241.1
Afropavo_congensis	AJ309514.1
Agapornis_fischeri	MK348530.1
Agapornis_lilianae	MN481406.1
Agapornis_lilianae	NC_045369.1
Agapornis_nigrigenis	MN481405.1
Agapornis_nigrigenis	NC_045367.1
Agapornis_personatus	MN481404.1
Agapornis_pullarius	NC_045368.1
Agapornis_roseicollis	EU410486.1
Agapornis_roseicollis	MN356406.1
Agapornis_roseicollis	NC_011708.1
Agelaioides_badius	JX516074.1
Agelaioides_badius	NC_018811.1
Agelaius_phoeniceus	FJ236289.1
Agelaius_phoeniceus	JX516062.1
Agelaius_phoeniceus	KM078767.1
Agelaius_phoeniceus	MN356439.1
Agelaius_phoeniceus	NC_018801.1
Agelaius_tricolor	L07526.1
Agelastes_niger	MW574352.1
Agelasticus_cyanopus	JX516076.1
Agelasticus_cyanopus	NC_018813.1
Agelasticus_thilius	JX516069.1
Agelasticus_thilius	NC_018807.1
Agelasticus_xanthophthalmus	JX516059.1
Agelasticus_xanthophthalmus	NC_018798.1
Ailuroedus_crassirostris	U10371.1
Ailuroedus_melanotis	X74257.1
Aix_galericulata	KF437906.1
Aix_galericulata	KJ169568.1
Aix_galericulata	NC_023969.1
Akialoa_obscura	KU158190.1
Akialoa_obscura	NC_031349.1
Alauda_arvensis	JQ322641.1
Alauda_arvensis	NC_020425.1
Alauda_gulgula	MW304005.1
Alauda_gulgula	NC_057960.1
Alauda_japonica	AB233982.1
Alaudala_cheleensis	MG681104.1
Alaudala_cheleensis	MN356181.1
Alaudala_cheleensis	MW143077.1
Alaudala_cheleensis	NC_046419.1
Alca_torda	CM018102.1
Alca_torda	MK263222.1
Alca_torda	MN356408.1
Alca_torda	X81402.1
Alcedo_atthis	D38329.1
Alcedo_atthis	KY964271.1
Alcedo_atthis	NC_035868.1
Alcedo_atthis_bengalensis	AB247262.1
Alcippe_morrisonia_hueti	KX376475.1
Aleadryas_rufinucha	MN356346.1
Aleadryas_rufinucha	NC_053088.1
Alectoris_barbara_barbara	AM492953.1
Alectoris_chukar	D66890.1
Alectoris_chukar	FJ752426.1
Alectoris_chukar	KT806484.1
Alectoris_chukar	KY829450.1
Alectoris_chukar	L08378.1
Alectoris_chukar	NC_020585.1
Alectoris_chukar_cypriotes	AM492908.1
Alectoris_chukar_cypriotes	AM492909.1
Alectoris_chukar_cypriotes	AM492910.1
Alectoris_chukar_cypriotes	AM492911.1
Alectoris_chukar_cypriotes	AM492912.1
Alectoris_chukar_cypriotes	AM492913.1
Alectoris_chukar_cypriotes	AM492914.1
Alectoris_chukar_cypriotes	AM492915.1
Alectoris_chukar_cypriotes	AM492916.1
Alectoris_chukar_cypriotes	AM492917.1
Alectoris_chukar_cypriotes	AM492918.1
Alectoris_chukar_cypriotes	AM492919.1
Alectoris_chukar_cypriotes	AM492920.1
Alectoris_chukar_cypriotes	AM492921.1
Alectoris_chukar_cypriotes	AM492922.1
Alectoris_chukar_cypriotes	AM492923.1
Alectoris_chukar_cypriotes	AM492924.1
Alectoris_chukar_cypriotes	AM492925.1
Alectoris_chukar_cypriotes	AM492926.1
Alectoris_chukar_cypriotes	AM492927.1
Alectoris_chukar_cypriotes	AM492928.1
Alectoris_chukar_cypriotes	AM492929.1
Alectoris_chukar_cypriotes	AM492930.1
Alectoris_chukar_cypriotes	AM492931.1
Alectoris_chukar_cypriotes	AM492932.1
Alectoris_chukar_cypriotes	AM492933.1
Alectoris_chukar_cypriotes	AM492934.1
Alectoris_chukar_cypriotes	AM492935.1
Alectoris_chukar_cypriotes	AM492936.1
Alectoris_chukar_cypriotes	AM492937.1
Alectoris_chukar_cypriotes	AM492938.1
Alectoris_chukar_cypriotes	AM492939.1
Alectoris_chukar_cypriotes	AM492940.1
Alectoris_chukar_cypriotes	AM492941.1
Alectoris_chukar_cypriotes	AM492942.1
Alectoris_chukar_cypriotes	AM492943.1
Alectoris_chukar_cypriotes	AM492944.1
Alectoris_chukar_cypriotes	AM492945.1
Alectoris_chukar_cypriotes	AM492946.1
Alectoris_chukar_cypriotes	AM492947.1
Alectoris_chukar_cypriotes	AM492948.1
Alectoris_chukar_cypriotes	AM492949.1
Alectoris_chukar_cypriotes	AM492950.1
Alectoris_graeca_orlandoi	AM492951.1
Alectoris_graeca_orlandoi	AM492952.1
Alectura_lathami	AY346091.1
Alectura_lathami	MN356204.1
Alectura_lathami	MW574353.1
Alectura_lathami	NC_007227.1
Alopecoenas_beccarii	MN356295.1
Alopecoenas_salamonis	KX902250.1
Alopecoenas_salamonis	NC_031871.1
Amaurornis_akool	KJ192198.1
Amaurornis_akool	NC_023982.1
Amaurornis_phoenicurus	KJ874440.1
Amaurornis_phoenicurus	NC_024593.1
Amazilia_brevirostris	KP722043.1
Amazilia_brevirostris	NC_033406.1
Amazilia_millerii	KP722042.1
Amazilia_millerii	NC_033405.1
Amazilia_rondoniae	KP722041.1
Amazilia_rondoniae	NC_033404.1
Amazilia_versicolor	KF624601.1
Amazilia_versicolor	NC_024156.1
Amazona_aestiva	KT361659.1
Amazona_aestiva	NC_033336.1
Amazona_barbadensis_barbadensis	JX524615.1
Amazona_guildingii	MN356210.1
Amazona_guildingii	NC_052783.1
Amazona_ochrocephala	KM611467.1
Amazona_ochrocephala	NC_027840.1
Amazona_ventralis	KX925977.1
Amazona_ventralis	NC_034679.1
Amblyramphus_holosericeus	JX516063.1
Amblyramphus_holosericeus	NC_018802.1
Anas_acuta	KF312717.1
Anas_acuta	L24205.1
Anas_acuta	NC_024631.1
Anas_chathamica	KF562761.1
Anas_crecca	KC771255.1
Anas_crecca	KF203133.1
Anas_crecca	NC_022452.1
Anas_platyrhynchos	EU009397.1
Anas_platyrhynchos	EU755252.1
Anas_platyrhynchos	EU755253.1
Anas_platyrhynchos	FJ167857.1
Anas_platyrhynchos	HM010684.1
Anas_platyrhynchos	KJ637997.1
Anas_platyrhynchos	KJ689447.1
Anas_platyrhynchos	KJ739616.1
Anas_platyrhynchos	KJ778676.1
Anas_platyrhynchos	KJ833586.1
