Abrothrix_olivaceus	U03532.1
Acinonyx_jubatus	AF344830.1
Acinonyx_jubatus	AY463959.1
Acinonyx_jubatus	KP202271.1
Acinonyx_jubatus	KR132579.1
Acinonyx_jubatus	NC_005212.1
Acinonyx_jubatus_jubatus	MK469962.1
Acinonyx_jubatus_soemmeringii	MK469961.1
Acinonyx_jubatus_venaticus	MK469963.1
Acomys_cahirinus	JN571139.1
Acomys_cahirinus	JN571140.1
Acomys_cahirinus	JN571141.1
Acomys_cahirinus	JN571142.1
Acomys_cahirinus	JN571143.1
Acomys_cahirinus	JN571144.1
Acomys_cahirinus	JN571145.1
Acomys_cahirinus	JN571146.1
Acomys_cahirinus	JN571147.1
Acomys_cahirinus	JN571148.1
Acomys_cahirinus	JN571149.1
Acomys_cahirinus	JN571150.1
Acomys_cahirinus	JN571151.1
Acomys_cahirinus	JN571152.1
Acomys_cahirinus	JN571153.1
Acomys_cahirinus	JN571154.1
Acomys_cahirinus	JN571155.1
Acomys_cahirinus	NC_020758.1
Acratocnus_ye	MK903494.1
Acratocnus_ye	NC_042752.1
Acrobates_pygmaeus	KJ868093.1
Acrobates_pygmaeus	KJ868094.1
Addax_nasomaculatus	JN632591.1
Addax_nasomaculatus	MZ474955.1
Addax_nasomaculatus	MZ474956.1
Addax_nasomaculatus	MZ474957.1
Addax_nasomaculatus	MZ474958.1
Addax_nasomaculatus	MZ474959.1
Addax_nasomaculatus	MZ474960.1
Addax_nasomaculatus	MZ474961.1
Addax_nasomaculatus	MZ474962.1
Addax_nasomaculatus	MZ474963.1
Addax_nasomaculatus	MZ474964.1
Addax_nasomaculatus	MZ474965.1
Addax_nasomaculatus	NC_020674.1
Aepyceros_melampus	JN632592.1
Aepyceros_melampus	M86496.1
Aepyceros_melampus	NC_020675.1
Aepyceros_melampus	U12341.1
Aepyceros_melampus	U12342.1
Aepyceros_melampus	U12343.1
Aepyceros_melampus	U12344.1
Aepyceros_melampus	U12346.1
Aepyceros_melampus	U12347.1
Aepyceros_melampus	U12348.1
Aepyceros_melampus	U12349.1
Aepyceros_melampus	U12350.1
Aepyceros_melampus	U12351.1
Aepyceros_melampus	U12352.1
Aepyceros_melampus	U12353.1
Aepyceros_melampus	U12354.1
Aepyceros_melampus	U12355.1
Aepyceros_melampus	U12356.1
Aepyceros_melampus	U12357.1
Aepyceros_melampus	U12358.1
Aepyceros_melampus	U12359.1
Aepyceros_melampus	U12360.1
Aepyceros_melampus	U12361.1
Aepyceros_melampus	U12362.1
Aepyceros_melampus	U12363.1
Aepyceros_melampus	U12364.1
Aepyceros_melampus	U12365.1
Aepyceros_melampus	U12366.1
Aepyceros_melampus	U12367.1
Aepyceros_melampus	U12368.1
Aepyceros_melampus	U12369.1
Aepyceros_melampus	U12370.1
Aepyceros_melampus	U12371.1
Aepyceros_melampus	U12372.1
Aepyceros_melampus	U12373.1
Aepyceros_melampus	U12374.1
Aepyceros_melampus	U12375.1
Aepyceros_melampus	U12376.1
Aepyceros_melampus	U12377.1
Aepyceros_melampus	U12378.1
Aepyceros_melampus	U12379.1
Aepyceros_melampus	U12380.1
Aepyceros_melampus	U12381.1
Aepyceros_melampus	U12382.1
Aepyceros_melampus	U12383.1
Aepyceros_melampus	U12384.1
Aepyceros_melampus	U12385.1
Aepyprymnus_rufescens	KJ868095.1
Aethomys_chrysophilus	MN807612.1
Aethomys_hindei	MN807607.1
Aethomys_kaiseri	MN807608.1
Aethomys_nyikae	MN807609.1
Ailuropoda_melanoleuca	AB302320.1
Ailuropoda_melanoleuca	EF196663.1
Ailuropoda_melanoleuca	EF212882.1
Ailuropoda_melanoleuca	L21866.1
Ailuropoda_melanoleuca	L21877.1
Ailuropoda_melanoleuca	L21887.1
Ailuropoda_melanoleuca	MH102403.1
Ailuropoda_melanoleuca	NC_009492.1
Ailuropoda_melanoleuca	U23553.1
Ailurops_ursinus	KJ868096.1
Ailurus_fulgens	L21864.1
Ailurus_fulgens	L21875.1
Ailurus_fulgens	L21885.1
Ailurus_fulgens	MK886830.1
Ailurus_fulgens	NC_011124.1
Ailurus_fulgens	U12826.1
Ailurus_fulgens_styani	AB291074.1
Ailurus_fulgens_styani	NC_009691.1
Akodon_montensis	KF769456.1
Akodon_montensis	NC_025746.1
Akodon_montensis	U03526.1
Alcelaphus_buselaphus	JN632593.1
Alcelaphus_buselaphus	JN632594.1
Alcelaphus_buselaphus	NC_020676.1
Alces_alces	JN632595.1
Alces_alces	MF784597.1
Alces_alces	MF784598.1
Alces_alces	MF784599.1
Alces_alces	MF784600.1
Alces_alces	MF784601.1
Alces_alces	MF784602.1
Alces_alces	MF784603.1
Alces_alces	MF784604.1
Alces_alces	MK644889.1
Alces_alces	MK644890.1
Alces_alces	MK644891.1
Alces_alces	MK644892.1
Alces_alces	MK644893.1
Alces_alces	MK644894.1
Alces_alces	MK644895.1
Alces_alces	MK644896.1
Alces_alces	MK644897.1
Alces_alces	MK644898.1
Alces_alces	MK644899.1
Alces_alces	MK644900.1
Alces_alces	MK644901.1
Alces_alces	MK644902.1
Alces_alces	MK644903.1
Alces_alces	MK644904.1
Alces_alces	MK644905.1
Alces_alces	MK644906.1
Alces_alces	MK644907.1
Alces_alces	MK644908.1
Alces_alces	MK644909.1
Alces_alces	MK644910.1
Alces_alces	MK644911.1
Alces_alces	MK644912.1
Alces_alces	MK644913.1
Alces_alces	MK644914.1
Alces_alces	MK644915.1
Alces_alces	MK644916.1
Alces_alces	MK644917.1
Alces_alces	MK644918.1
Alces_alces	MK644919.1
Alces_alces	MK644920.1
Alces_alces	MK644921.1
Alces_alces	MK644922.1
Alces_alces	MK644923.1
Alces_alces	MK644924.1
Alces_alces	MK644925.1
Alces_alces	MK644926.1
Alces_alces	MK644927.1
Alces_alces	MK644928.1
Alces_alces	MT483645.1
Alces_alces	NC_020677.1
Alces_alces	U12866.1
Alces_alces_alces	U12863.1
Alces_alces_cameloides	KP164854.1
Alces_alces_cameloides	KP405229.1
Allactaga_williamsi	MT079957.1
Allactaga_williamsi	NC_049035.1
Allenopithecus_nigroviridis	JQ256993.1
Allenopithecus_nigroviridis	KJ434962.1
Allenopithecus_nigroviridis	NC_023965.1
Allocebus_trichotis	KM112334.1
Allocebus_trichotis	KM112335.1
Allocebus_trichotis	NC_035631.1
Allochrocebus_lhoesti	JQ256925.1
Allochrocebus_lhoesti	KJ434957.1
Allochrocebus_lhoesti	NC_023962.1
Allochrocebus_preussi_insularis	JQ256927.1
Allochrocebus_preussi_insularis	JQ256928.1
Allochrocebus_preussi_preussi	JQ256926.1
Allochrocebus_solatus	JQ256919.1
Allochrocebus_solatus	JQ256920.1
Allocricetulus_eversmanni	KP231506.1
Alouatta_caraya	KC757384.1
Alouatta_caraya	NC_021938.1
Alouatta_guariba_clamitans	KY202428.1
Alouatta_palliata	L22774.1
Alouatta_seniculus	HQ644333.1
Alouatta_seniculus	NC_027825.1
Alticola_lemminus	MT381922.1
Alticola_macrotis	MT381923.1
Alticola_olchonensis	MT381924.1
Alticola_strelzovi	MT381925.1
Alticola_tuvinicus	MT381926.1
Ammotragus_lervia	EF466060.1
Ammotragus_lervia	FJ207522.1
Ammotragus_lervia	NC_009510.1
Ammotragus_lervia	Y09299.1
Anomalurus_beecrofti	KX529105.1
Anomalurus_beecrofti	KX529109.1
Anomalurus_beecrofti	NC_038171.1
Anomalurus_derbianus	KX529107.1
Anomalurus_derbianus	NC_038173.1
Anomalurus_pelii	KX529106.1
Anomalurus_pelii	NC_038172.1
Anomalurus_pusillus	KX529108.1
Anomalurus_pusillus	NC_038174.1
Anomalurus_sp._GP-2005	NC_009056.1
Anoura_caudifer	HG003307.1
Anoura_caudifer	L19506.1
Anoura_caudifer	NC_022420.1
Anourosorex_squamipes	AB175090.1
Anourosorex_squamipes	AB175091.1
Anourosorex_squamipes	KJ545899.1
Anourosorex_squamipes	NC_024563.1
Anourosorex_yamashinai	AB175088.1
Anourosorex_yamashinai	AB175089.1
Anourosorex_yamashinai	AB190460.1
Anourosorex_yamashinai	AB190461.1
Anourosorex_yamashinai	AB190462.1
Anourosorex_yamashinai	AB190463.1
Anourosorex_yamashinai	AB190464.1
Anourosorex_yamashinai	AB190465.1
Anourosorex_yamashinai	AB190466.1
Anourosorex_yamashinai	AB190467.1
Anourosorex_yamashinai	AB190468.1
Anourosorex_yamashinai	AB190469.1
Anourosorex_yamashinai	AB190470.1
Anourosorex_yamashinai	AB190471.1
Anourosorex_yamashinai	AB190472.1
Anourosorex_yamashinai	AB190473.1
Anourosorex_yamashinai	AB190474.1
Anourosorex_yamashinai	AB190475.1
Anourosorex_yamashinai	AB190476.1
Anourosorex_yamashinai	AB190477.1
Anourosorex_yamashinai	AB190478.1
Anourosorex_yamashinai	AB190479.1
Anourosorex_yamashinai	AB190480.1
Anourosorex_yamashinai	AB190481.1
Anourosorex_yamashinai	AB190482.1
Anourosorex_yamashinai	AB190483.1
Anourosorex_yamashinai	AB190484.1
Anourosorex_yamashinai	AB190485.1
Anourosorex_yamashinai	AB190486.1
Anourosorex_yamashinai	AB190487.1
Anourosorex_yamashinai	AB190488.1
Anourosorex_yamashinai	AB190489.1
Anourosorex_yamashinai	AB190490.1
Anourosorex_yamashinai	AB190491.1
Anourosorex_yamashinai	AB190492.1
Anourosorex_yamashinai	AB190493.1
Anourosorex_yamashinai	AB190494.1
Anourosorex_yamashinai	AB190495.1
Anourosorex_yamashinai	AB190496.1
Anourosorex_yamashinai	AB190497.1
Anourosorex_yamashinai	AB190498.1
Antechinomys_laniger	KJ868097.1
Antechinus_arktos	MK977601.1
Antechinus_arktos	NC_050988.1
Antechinus_flavipes	KJ868098.1
Antechinus_flavipes	MN447797.1
Antechinus_flavipes	NC_056379.1
Antechinus_godmani	KJ868099.1
Antechinus_swainsonii	KJ868100.1
Antidorcas_marsupialis	JN632596.1
Antidorcas_marsupialis	NC_020678.1
Antilocapra_americana	JN632597.1
Antilocapra_americana	M55540.1
Antilocapra_americana	NC_020679.1
Antilocapra_americana	X56286.1
Antilope_cervicapra	AP003422.1
Antilope_cervicapra	JN632598.1
Antilope_cervicapra	NC_012098.1
Aonyx_capensis	MK309841.1
Aonyx_capensis	NC_046484.1
Aonyx_cinereus	KY117535.1
Aonyx_cinereus	KY117536.1
Aonyx_cinereus	NC_035814.1
Aotus_azarai	KC757385.1
Aotus_azarai	NC_021939.1
Aotus_azarai_azarai	JN161099.1
